epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.603,1.79216,3.4866,1.40528,0.01743,0.7165,0.11513,0.07094,1.26908,3.28003,1.11419,0.000406977,0.000406977,0.000406977
2,23.3032,1.36932,2.16134,1.12474,0.57258,0.34626,0.31644,0.18993,1.20613,2.08288,1.08858,0.000815489,0.000815489,0.000815489
3,34.0816,1.30958,2.00217,1.12074,0.49225,0.26705,0.29373,0.15013,1.34189,2.31228,1.15392,0.00121575,0.00121575,0.00121575
4,45.9722,1.2825,1.92728,1.10182,0.55648,0.38528,0.35088,0.21211,1.2023,1.87461,1.12356,0.00121287,0.00121287,0.00121287
5,56.8531,1.27546,1.89033,1.11099,0.32656,0.41996,0.35699,0.22625,1.18234,1.78046,1.1132,0.0012005,0.0012005,0.0012005
6,67.766,1.23855,1.81555,1.08999,0.62774,0.45874,0.39104,0.24557,1.17493,1.69542,1.10377,0.00118812,0.00118812,0.00118812
7,78.7586,1.24231,1.7335,1.10003,0.63284,0.48375,0.41404,0.24556,1.26663,1.55284,1.18148,0.00117575,0.00117575,0.00117575
8,89.8218,1.1959,1.73652,1.075,0.67562,0.47673,0.45257,0.28502,1.11555,1.54884,1.09781,0.00116337,0.00116337,0.00116337
9,100.94,1.18899,1.67931,1.07859,0.42226,0.50805,0.43006,0.27434,1.14592,1.59968,1.11065,0.001151,0.001151,0.001151
10,112.217,1.17162,1.64563,1.06686,0.39956,0.50137,0.44575,0.28931,1.08944,1.48388,1.07778,0.00113863,0.00113863,0.00113863
11,123.075,1.17325,1.60293,1.06256,0.40949,0.55314,0.43529,0.28045,1.14641,1.48001,1.08392,0.00112625,0.00112625,0.00112625
12,134.07,1.18186,1.61781,1.06482,0.71494,0.52246,0.50563,0.33271,1.0683,1.42329,1.08081,0.00111388,0.00111388,0.00111388
